DATA_MANAGE_NO,DATA_TITLE_NM,THEME_NM,LWPRT_THEME_NM,CL_NM,LWPRT_CL_NM,SBJT_NM,MIDDL_SBJT_NM,SUMRY_CN,MAIN_THUMB_URL,CNTNTS_URL,CTPRVN_NM,SIGNGU_NM,ADDR,CTLSTT_LA,CTLSTT_LO,REGIST_DE,CORE_KWRD_CN,OPN_DE
6353,그림 - 이성계의 꿈,생활문화,지역설화,"구비전승,어문학",어문학,서울·경기도·인천 지역의 전설,,옛사람들은 귀인의 꿈을 해석할 때는 어쨌든 좋게 해석하였고 큰 뜻을 품은 사람들은 여러 가지 말들을 만들어 내려 민심을 끌었다. 이성계의 꿈을 해석한 데도 이런 점이 깃들어 있다. 이성계는 대담하고 용감한 장수였으나 늘 꿈이야기를 하고는 그 꿈을 해몽하라고 하였다. 이성계의 꿈은 주로 무학이 해석하였다. 이성계의 꿈이야기가 책을 통해 전해져 내려오고 있다.,,https://ncms.nculture.org/traditional-stories/story/6353,서울특별시,중구,서울 중구 삼일대로 363,37.56715654,126.9870523,20230101,"이성계, 꿈, 무학대사, 해몽",20230930
6365,그림 - 승천못한 용이 사는 용소,생활문화,지역설화,"구비전승,어문학",어문학,전라도·광주 지역의 전설,,순창 쌍치면 고당산에서 발원되는 물이 굽이굽이 돌아서 흘러내려 임실 백년산에서 발원하는 물과 합류하여 남쪽으로 흐르는 물을 섬진강이라 한다. 이 물이 순창 풍산면 옥출산이 머무른 곳과 남원 대강면과 경계하고 있는 곳을 용소 또는 용연이라고 한다. 이 용소는 깊이도 깊고 길이도 길어서 풍산면 용내리에서 있었던 용혈암과도 연관되어 승천하지 못한 용이 때를 기다린다는 이야기가 전해지고 있다.,,https://ncms.nculture.org/traditional-stories/story/6365,전라북도,순창군,전라북도 순창군 풍산면 용내리,35.33919461,127.1506767,20230101,"승천, 용소, 용",20230930
6368,그림 - 강천용소와 노총각,생활문화,지역설화,"구비전승,어문학",어문학,전라도·광주 지역의 전설,,옛날에는 강천산 입구에서 팔덕의 서북방 구림면으로 흘렀을 뿐 이곳은 실개천 하나없는 삭막한 벌판이었던 이곳에서 동쪽을 약 7km떨어진 순창읍 교성리 마을터에 한 노총각이 홀어머니와 함께 근근이 생계를 이어가고 있었다. 그는 인간세계로 쫓겨난 암용을 도와줘서 아름다운 여인을 얻어 행복하게 살았다는 전설이 내려오고 있다.,,https://ncms.nculture.org/traditional-stories/story/6368,전라북도,순창군,전북 순창군 팔덕면 청계리 1043,35.40790869,127.0654499,20230101,"강천용소, 노총각, 암용",20230930
6387,그림 - 세종 때 설치되어 고종 때 폐지된 신안 상태도돈대,역사문화유산,한국의 관방문화,문화유산,건축유적,전라남도 관방유적,돈대,상태도돈대(上苔島墩臺)는 전남 신안군 신의면 상태서리 산 85-1번지 성산(城山)에 있다. 세종 20년에 설치했다가 고종 32년에 돈대가 더 필요하지 않아 폐지하였다. 돈대는 주변 관측이 쉽도록 평지보다 높은 평평한 땅에 설치한 소규모 군사 기지로 봉화가 딸린 곳도 있다. 상태도돈대는 섬으로 들어오는 왜구 등의 침략을 방어하기 위해서 설치되었다. 당시 전라우수영 남도진(南桃鎭)에서 관장하던 9개 돈대 가운데 하나이다.,,https://ncms.nculture.org/fortress/story/6387,전라남도,신안군,전라남도 신안군 신의면 상태서리 산85-1,34.60153909,126.0798117,20230101,"상태도돈대, 남돋진",20230930
6427,그림 - 이야기가 있는 과천 남태령 옛길 따라 도보산책,생활문화,우리마을이야기,자연과 지리,마을경관,경기도 마을 산책,,"남태령에는 17세기 유몽인의 [어우야담]에 실려 있는 여우고개 이야기와 정조 대왕 능행차시 남태령으로 지명이 바뀌게 된 사연 등 많은 이야기들이 남아 있다. 현재 남태령 도로 옆에 조성되어 있는 남태령 옛길은 한양에서부터 삼남(경상, 전라, 충청)으로 통하는 대로였으며, 역사적으로는 정조 대왕이 아버지 사도세자를 모신 현륭원으로 행차하실 때 지나셨던 효행의 길로써 유서가 깊은 길이다. 남태령 옛길 따라 과천방향으로 산책을 하면서 평소 모르고 지나쳤던 숨어있는 우리 조상들의 정신과 얼이 담겨져 있는 문화유적지들을 탐방해 본다.",https://minio.nculture.org/amsweb-opt/multimedia_assets/169/72553/65774/c/%EA%B9%80%EB%A7%8C%EC%88%9C_1-%E2%91%A0-%EB%82%A8%ED%83%9C%EB%A0%B9-%EC%98%9B%EA%B8%B8-%ED%91%9C%EC%A7%80%EC%84%9D%28%EA%B0%80%EC%9D%84%29-thumb.jpg,https://ncms.nculture.org/story-of-our-hometown/story/6427,경기도,과천시,경기 과천시 중앙로 294 관문체육공원,37.44136421,126.9963457,20230101,"남태령, 여우고개, 3.1운동, 독립운동",20230930
6436,그림 - 폭풍을 이긴 안동포의 도사공,생활문화,지역설화,"구비전승,어문학",어문학,서울·경기도·인천 지역의 전설,,"조선 중기 때 검단의 안동포 포구에서 작은 배를 부리던 김호라는 선주 겸 도사공이 있었다. 선주는 자기 몫에서 떼어 가난한 동사들에게 더 주기도 하였다. 김도사공은 하늘을 올려다보고는 폭풍이 올걸 예상했다. 그러나 요동치는 배에서 내리면 배를 살릴 수 없다는 것을 느꼈다. 그래서 안간힘을 쓰며 배를 살리기 위해 버텼고, 그 옆을 박영좌가 함께했다. 폭풍으로 인하여 여러 배가 부서져 그 해 가을에서 다음 해 가을까지, 안동포에서 고기잡이에 나선 배는 그들의 배 한 척뿐이었다. 두 사람은 죽은 뒤 오랜 세월이 지나도 사람들은 그들을 기억하며 마음이 착해 복을 받았다고 하였다.",,https://ncms.nculture.org/traditional-stories/story/6436,인천광역시,서구,인천 서구 왕길동,37.59122167,126.6506665,20230101,"안동포, 도사공",20230930
6441,그림 - 서곶과 검단의 봉수대,생활문화,지역설화,"구비전승,어문학",어문학,서울·경기도·인천 지역의 전설,,"서곶과 검단에는 세 곳의 봉수대가 남아 있다. 하나는 가정동 봉오재 마을 앞 축곶산 봉수이고 하나는 오류동의 봉화촌 백석산 봉수이며, 마지막은 경서동의 반도 돌출부 범머리산에 있었다는 봉수이다. 가정동 축곶산의 봉수대는 세종 5년에 설치하여 471년간 사용하였다. 백석산의 봉수대가 있던 곳을 봉화둑이라고 불렀는데 지금은 흔적조차 사라졌다고 한다. 범머리산의 봉수는 병인양요 이후 이양선의 출몰을 관측하는 봉수대가 있었다고 한다. 비록 흔적은 남아있지 않지만 봉수가 있었던 것이 확실하다고 경서동의 원로들은 말한다.",,https://ncms.nculture.org/traditional-stories/story/6441,인천광역시,서구,인천 서구 오류동 산 56-8,37.59794277,126.6327708,20230101,"서곶, 검단, 봉수대",20230930
6447,그림 - 걸출한 서예가 류희강,생활문화,지역문화예술인,종교와 문화,문화예술,미술,,서곶이 낳은 걸출한 서예가 검여 류희강은 1911년 시시내마을(현재의 시천동)에서 출생하였다. 류희강은 중국으로 건너가 서양화와 서예 그리고 금석문을 공부했다. 광복 직후 귀국한 그는 인천으로 돌아와 인천 예술인협회를 중심으로 활동하였다. 그러던 중 류희강은 후유증으로 뇌출혈에 걸려 오른손이 마비되어 붓을 다시 잡을 수 없게 되었다. 그러나 그는 왼손으로 붓을 들어 좌수전을 열기도 했었다. 그는 사찰에 글씨를 남기기도 했었는데 특히 수원 용주사 사문에 걸려있는 편액은 결체가 단정하고 필치가 주경하다고 평가되고 있다.,,https://ncms.nculture.org/local-artist/story/6447,인천광역시,서구,인천광역시 서구 시천동 59-1,37.57069234,126.6881096,20230101,"인천, 좌수전, 서예",20230930
6449,그림 - 강릉 이씨 가문의 농지 경영을 기록한 선교장 추수기,역사문화유산,한국의 기록문화,문화유산,기타,강원도의 기록문화,종이자료,"『선교장 추수기』는 강릉 사대부 가문인 선교장에서 농지 경영에 관한 정보를 기록한 문서이다. 선교장 이씨 가문은 강원도 일대에 많은 토지를 소유하고 있었는데, 농민들에게 땅을 대여해 주면서 농지를 경영했다. 『선교장 추수기』에는 대여해 준 토지의 면적, 수확량, 농지 경영에 필요한 자금, 수확 비용 등이 자세하게 기록되어 있다. 조선 후기 양반 지주층이 소유한 농지 규모 및 농지 경영 방식을 파악하는데 도움이 되는 기록물이다.",,https://ncms.nculture.org/archival/story/6449,강원특별자치도,강릉시,강원도 강릉시 운정길 63,37.7872994,128.8845418,20230101,"고택, 선교장, 이내번, 추수기",20230930
6461,그림 - 조선 사대부들이 바위에 새긴 방선문 마애석각,역사문화유산,한국의 기록문화,문화유산,기타,제주도의 기록문화,금석자료,"신선이 방문하는 문이라는 의미를 지닌 제주 방선문은 수려한 경관을 자랑하는 제주도 명소 중 하나이다. 방선문은 한라산 등반을 하기 위해 지나가는 곳이었지만, 아름다운 풍경을 간직한 곳으로 소문이 나면서 많은 사람이 자연을 만끽하기 위해 찾아왔다. 조선시대 사대부들은 산수를 유람하면서 경치가 빼어난 곳을 방문하면 자신의 이름이나 시를 바위에 새겨 넣는 일이 많았다. ?방선문 마애석각」도 방선문의 경치를 보고 감탄한 사대부들이 남기고 간 흔적이라고 할 수 있다.",https://minio.nculture.org/amsweb-opt/multimedia_assets/228/85923/94927/c/%EB%B0%A9%EC%84%A0%EB%AC%B8-%EB%A7%88%EC%95%A0%EC%84%9D%EA%B0%81-%2811%29_rev-thumb.jpg,https://ncms.nculture.org/archival/story/6461,제주특별자치도,제주시,제주특별자치도 제주시 오라이동 3819-11,33.46485064,126.5168342,20230101,"백록담, 백사슴, 방선문 마애석각, 제주목사 이익태, 제주도 금석자료",20230930
