DATA_MANAGE_NO,DATA_TITLE_NM,THEME_NM,LWPRT_THEME_NM,CL_NM,LWPRT_CL_NM,SBJT_NM,MIDDL_SBJT_NM,SUMRY_CN,MAIN_THUMB_URL,CNTNTS_URL,CTPRVN_NM,SIGNGU_NM,ADDR,CTLSTT_LA,CTLSTT_LO,REGIST_DE,CORE_KWRD_CN,OPN_DE,media_type,REFINED_KWRD_CN,IS_STORY,media_subtype
10611,"우리나라에서 가장 오래된 천자문, 석각 천자문",역사문화유산,한국의 석조문화,문화유산,조각,조선시대 석조문화,암각화와 암각문,천자문은 예로부터 전해지는 한자공부의 기본서이다. 중국에서 제작된 『천자문』이 한반도에 전해졌던 시기를 정확히 알 수 없지만 현재까지 전해지고 있는  『천자문』은 대부분 조선시대에 만들어진 것으로 한자의 음과 뜻이 함께 쓰여 있다. 하지만 최근에 서울특별시 도봉구 도봉산에 위치한 영국사터에서 천자문이 새겨진 돌조각이 발견되었다. 새겨진 글씨체로 미루어 보아 고려시대에 제작된 것으로 추측된다. 그렇다면 영국사 석각 천자문은 우리나라에서 발견된 가장 오래된,,https://ncms.nculture.org/stonecraft/story/4882,서울특별시,송파구,서울 송파구 위례성대로 71,37.51542872,127.1208007,20200612,"석각 천자문, 천자문, 서울 영국사, 도봉구",20221230,text,,N,text
10619,"우리나라에서 가장 오래된 금동불상, 금동연가7년명여래입상",역사문화유산,한국의 기록문화,문화유산,기타,경상도 대구 울산 부산의 기록문화,금석자료,"1963년 경상남도 의령군에서 출토된 「금동연가7년명여래입상」은 539년에 고구려에서 만들어진 천불상이다. 우리나라에서 가장 오래된 금동불상으로, 광배의 뒷면에는 4행 47자의 글자가 음각되어 있다. 이를 통해 불상의 주조 시기와 천불상의 하나로 주조되었다는 사실을 알 수 있다. 이 불상이 만들어질 당시 고구려에서는 금동불상을 조성하여 유포하는 거대한 불교 사업이 진행 중이었던 것으로 추정된다.",,https://ncms.nculture.org/archival/story/5069,서울특별시,용산구,서빙고로 137,37.52470224,126.9777402,20200629,"의령군, 금동연가7년명여래입상, 천불상, 천불신앙",20221230,text,불교/문화유산,N,text
10620,헌종과 경빈 김씨의 혼례를 기록한 정미가례시일기,역사문화유산,한국의 기록문화,문화유산,기타,서울의 기록문화,종이자료,"『정미가례시일기』는 헌종 13년에 헌종과 후궁 경빈 김 씨의 가례와 관련하여 혼례 절차와 가례에 쓰인 물품의 목록 등을 한글로 기록한 책이다. 가례의 절차와 궁녀들의 역할 분담, 가례에서 사용된 물품들을 상세하게 기록했기 때문에 궁중 풍속 연구에 있어서 중요한 자료로 쓰일 수 있다. 조선의 왕과 후궁의 가례는 여러 번 있었지만, 기록으로 남은 건 두번 뿐이며 헌종과 경빈 김씨의 가례를 다룬 기록이 가장 상세하다.",,https://ncms.nculture.org/archival/story/5076,서울특별시,관악구,관악로 1(신림동) 서울대학교 규장각 한국학연구원,37.46803806,126.9592943,20200629,"헌종, 경빈김씨, 가례, 정미가례시일기, 경빈가례시가례청등록",20221230,text,역사/인물,N,text
10622,"부평계양문화권의 역사적 뿌리이자 산소탱크, 계양산",생활문화,지명유래,"구비전승,어문학",지명유래,인천 지역의 지명유래,,"인천 계양구의 계양산은 시대에 따라 수주악, 안남산, 아남산, 경명산이라고도 하였다. 한강 서부지역에서 가장 높은 계양산은 예로부터 계양산 자락의 마을에서 산신제나 마을 제례를 하며 신성시되었다.",,https://ncms.nculture.org/origin-of-place-names/story/5114,인천광역시,계양구,인천 계양구 계산동 산 52,37.55060069,126.7142619,20200707,"안남산, 인천의 산, 경명산",20221230,text,,N,text
10623,강원도 옥수수로 만드는 황골엿과 황골 엿술,생활문화,향토음식,생활과 민속,생활,지역 향토 음식,,옥수수엿은 강원도 원주시 황골마을의 향토음식으로 100~140년 전부터 만들어왔다. 황골엿이라고도 부른다. 간 옥수수를 죽처럼 푹 끓여 엿기름가루를 넣어 잘 혼합해서 삭힌다. 8시간 정도 지나면 윗부분에 맑은 물이 생긴다. 전체를 다 떠서 삼베 주머니에 눌러 짜주고 물만 따로 받아서 식기 전에 솥에 붓고 은근한 불을 잘 조절해 졸이면 엿이 완성된다. 이 엿물을 고아서 만드는 술이 황골 엿술이다. 황골 엿술은 붉은빛을 띤 담황색으로 엿기름의 달콤한 맛과,,https://ncms.nculture.org/food/story/5158,강원도,원주시,강원 원주시 소초면 황골로 172,37.38207838,127.9958713,20200708,"옥수수, 원주, 옥수수엿, 엿술",20221230,text,,N,text
10628,주왕산의 이야기를 모은 경북 청송 주왕산지,역사문화유산,한국의 기록문화,문화유산,기타,경상도 대구 울산 부산의 기록문화,종이자료,"경상북도 청송군 주왕산면 상의리에는 주왕산이라는 유명한 산이 있다. 조선 후기 청송군 출신의 학자 서원모는 주왕산과 관련된 기록들을 모아 『주왕산지』라는 책을 만들었다. 『주왕산지』에는 주왕 설화, 유람 기록, 시, 주왕산 관련 지명 등이 수록되어 있다. 주왕산이라는 명칭에 대하여 당나라 때 스스로를 주왕이라 일컫고 장안을 공격했던 인물 주왕에 얽힌 이야기가 전해진다. 2009년에는 한글로 번역된 『주왕산지』(청송군)가 출간되어 일반인들도 쉽게 접할 수",,https://ncms.nculture.org/archival/story/5211,경상북도,청송군,경북 청송군 주왕산면 공원길 169-7,36.39387229,129.1420635,20200710,"주왕산지, 주왕산, 청송군",20221230,text,역사/인물,N,text
10629,경남 밀양의 풀 썰며 부르는 작두야소리,생활문화,노동요,생활과 민속,민속,경상남도 노동요,임산노동요,"「풀써는소리」는 논이나 밭에 거름으로 쓸 풀을 작두로 썰면서 부르던 노래이다. 풀 써는 일은 넣어주고, 밟고, 빼는 등 분업으로 진행했는데, 보통은 풀을 작두에 넣어주는 사람이 「풀써는소리」를 부른다. 현재까지 전승이 확인된 「풀써는소리」에는 어이야소리, 우러리소리, 작두야소리가 있다. 작두야소리는 밀양시 산내면에서 전승되었다. 가창방식은 선후창으로 2마디짜리 전언가사에 ‘어허허어 작두야’라는 디딤가사를 붙였다.",,https://ncms.nculture.org/labour-song/story/5221,경상남도,밀양시,경상남도 밀양시 산내면 발례로 65,35.56865435,128.8792697,20200710,"경상남도, 밀양, 풀써는소리, 임산물채취요, 작두야소리",20221230,text,노동/민요,N,text
10630,국내 유일하게 경남 사천에서 전승되는 갈방아소리,생활문화,노동요,생활과 민속,민속,경상남도 노동요,공산노동요,"경상남도 사천시에서는 갈방아를 찧을 때 갈방아소리를 불렀다. 갈은 소나무껍질로, 나일론이 나오기 전까지 갈을 찧어 면사 그물에 묻혀 튼튼하게 만들었다고 한다. 갈방아 찧기는 남자들 4~5명이 모여 함께 작업을 했으며 이때의 노래는 작업자 간의 호흡을 일치시키고 흥을 돋우기 위해서 불렀다. 갈방아소리는 2마디짜리 전언가사에 “에야디야 갈방애야”라는 디딤가사를 선후창으로 불렀다. 「갈방아찧는소리」로는 사천 마도동에서 채록된 갈방아소리가 유일하다.",,https://ncms.nculture.org/labour-song/story/5222,경상남도,사천시,경상남도 사천시 마도길 47,34.93736037,128.0304742,20200710,"갈방아찧는소리, 갈방아소리, 경남 사천, 소나무 껍질",20221230,text,노동/민요,N,text
10632,서양식 별자리가 새겨진 석각천문도,역사문화유산,한국의 석조문화,문화유산,조각,조선시대 석조문화,기타,"동양 전통의 세계관에서 세상 만물을 이루는 하늘과 땅 그리고 사람[天·地·人]은 모두 유기적으로 연결되어 있다. 군주는 인(人)뿐만 아니라 지(地)와 천(天) 분야에도 두루 관심을 보였고, 지도와 천문도 제작은 군주의 중요한 정치적 행위였다. 대전 유성구의 석각천문도(石刻天文圖)는 기존의 천문도와는 다르게 서양의 별자리가 새겨져있다. 중앙의 동심원으로 천구(天球)를 표현하는 것이나 테두리에 열두 간지에 따른 12시를 표현하는 방법은 동양의 전통을 따르고",,https://ncms.nculture.org/stonecraft/story/5318,대전광역시,유성구,대전 유성구 대덕대로 481,36.3771312,127.3749897,20200722,"석각천문도, 천문도, 별자리, 천상열차분야지도, 석각, 일제강점기",20221230,text,,N,text
10633,"불을 밝히고 손을 씻으며 제향(祭享)을 준비하다, 소수서원 정료대·관세대",역사문화유산,한국의 석조문화,문화유산,조각,조선시대 석조문화,서원 석물,"소수서원은 우리나라의 최초의 서원이다. 처음에는 백운동 서원으로 설립되었으나 신광한에 의해 소수서원이라는 명칭을 갖게 되었으며, 명종이 직접 “소수서원”이라는 편액 글씨를 써서 하사하기도 하였다.  지난 2018년 7월에는 소수서원을 비롯한 우리나라의 서원 9곳이 유네스코 세계문화유산에 등재되었다. 소수서원에 남아있는 정료대와 관세대는 제향을 하기 전 불을 밝히고, 손을 씻는 곳으로 서원에서 머물며 공부했던 옛 사람들의 자연스러운 생활 모습이 담겨있는",,https://ncms.nculture.org/stonecraft/story/5319,경상북도,영주시,경북 영주시 순흥면 내죽리,36.93571553,128.5755851,20200722,"소수서원, 정료대, 관세대, 서원 석조물, 제향",20221230,text,,N,text
